Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
2025-05-16 15:35:01.165,2,-1,0,-2,-2,6,16,-1
2025-05-16 15:35:01.179,2,0,-1,1,1,0,5,2
2025-05-16 15:35:01.192,13,0,0,0,0,-3,-9,-6
2025-05-16 15:35:01.207,13,0,0,0,0,-3,-9,-6
2025-05-16 15:35:01.221,1,-1,0,-1,-2,2,4,-2
2025-05-16 15:35:01.234,-3,-1,-2,-2,-3,-10,-14,0
2025-05-16 15:35:01.249,18,-1,-1,0,-1,-2,-5,-3
2025-05-16 15:35:01.263,18,-1,-1,0,-1,-2,-5,-3
2025-05-16 15:35:01.276,-7,1,-1,-1,1,8,18,1
2025-05-16 15:35:01.291,8,-2,-1,-1,-1,-1,-12,-1
2025-05-16 15:35:01.303,-14,-1,-4,-2,-2,-7,-11,0
2025-05-16 15:35:01.318,19,0,0,0,2,-1,-10,0
2025-05-16 15:35:01.332,19,0,0,0,2,-1,-10,0
2025-05-16 15:35:01.345,1,-2,-3,-3,-1,-5,-13,-3
2025-05-16 15:35:01.360,-2,0,-2,0,0,5,1,-3
2025-05-16 15:35:01.373,-5,0,-1,1,3,6,11,1
2025-05-16 15:35:01.388,-5,0,-1,1,3,6,11,1
2025-05-16 15:35:01.401,-6,-2,0,1,-3,-5,-9,-1
2025-05-16 15:35:01.415,-8,-1,-1,-2,-1,2,3,-3
2025-05-16 15:35:01.435,-9,-1,-1,-1,-2,2,8,-1
2025-05-16 15:35:01.458,4,-2,-1,-1,-3,-4,-5,0
2025-05-16 15:35:01.473,-3,1,-1,0,0,8,23,0
2025-05-16 15:35:01.488,-12,-1,0,-2,-1,-4,-8,-3
2025-05-16 15:35:01.501,-1,-3,-3,-1,-2,-4,-8,-1
2025-05-16 15:35:01.515,14,-1,0,0,0,8,17,3
2025-05-16 15:35:01.526,-13,-3,-1,-3,-2,-4,-1,-1
2025-05-16 15:35:01.539,-1,1,-2,-1,-1,-3,-3,2
2025-05-16 15:35:01.549,21,2,2,-1,-2,-5,-12,0
2025-05-16 15:35:01.564,21,2,2,-1,-2,-5,-12,0
2025-05-16 15:35:01.576,3,0,0,-1,1,0,1,-2
2025-05-16 15:35:01.590,0,-2,-1,-2,-2,-3,-1,1
2025-05-16 15:35:01.607,-6,0,-2,1,0,9,13,0
2025-05-16 15:35:01.619,-4,-1,-2,-3,-3,-10,-23,-2
2025-05-16 15:35:01.632,-2,-2,-1,1,-1,-5,-11,-2
2025-05-16 15:35:01.646,-2,-2,-1,1,-1,-5,-11,-2
2025-05-16 15:35:01.660,-4,-2,-2,-1,-3,1,8,2
2025-05-16 15:35:01.673,-34,-3,1,0,3,2,7,-2
2025-05-16 15:35:01.688,-34,-3,1,0,3,2,7,-2
2025-05-16 15:35:01.701,10,-1,-2,-1,0,-3,4,0
2025-05-16 15:35:01.715,4,1,-2,-3,-1,-1,-3,-1
2025-05-16 15:35:01.729,-9,-2,-2,-2,-2,0,0,0
2025-05-16 15:35:01.742,28,1,0,0,-2,2,0,-1
2025-05-16 15:35:01.757,0,-1,0,1,-1,-1,-6,-1
2025-05-16 15:35:01.770,0,-1,0,1,-1,-1,-6,-1
2025-05-16 15:35:01.784,-4,0,1,1,1,0,-3,0
2025-05-16 15:35:01.797,1,1,-1,-1,-2,-4,-6,-1
2025-05-16 15:35:01.818,-6,0,-2,-1,-2,-3,3,1
2025-05-16 15:35:01.829,-6,0,-2,-1,-2,-3,3,1
2025-05-16 15:35:01.845,-10,-2,-2,0,0,-2,-4,1
2025-05-16 15:35:01.861,3,-1,0,-1,0,-2,-2,-5
2025-05-16 15:35:01.874,3,-1,0,-1,0,-2,-2,-5
